289	9926	12
4698	3033	12
184	1990	0
361	2060	3
468	7374	7
2860	8058	2
25704	6415	8
12	2959	1
12	1888	6
2269	9679	5
413	1141	11
297	4665	7
415	436	5
11	5894	34
104	5569	1
9829	861	3
39451	3663	9
2838	2976	0
4644	519	11
14050	3238	7
3517	9499	1
529	6650	6
12	4963	26
12	5448	4
6715	2346	7
6572	5925	4
37641	5253	6
131	1135	10
26870	7767	9
310	431	5
34918	8802	13
40382	5974	25
2747	9355	19
946	521	8
721	3589	0
143	8520	6
19878	6936	0
145	1287	7
9	9434	11
2321	999	5
807	9396	1
14	7877	11
39837	5379	12
14	4650	12
104	9070	14
316	5363	17
104	736	1
28581	6075	16
185	3263	1
20191	7097	1
42774	1818	4
10202	2734	1
217	1801	21
34077	9922	9
30967	5131	3
14	6052	12
2523	4797	11
102	9455	2
34069	3191	22
481	93	7
14	3308	29
29055	5993	1
44693	1367	17
142	5892	13
6507	3129	5
31291	3507	3
6847	2281	7
7379	1251	24
249	6414	3
16752	2413	0
35497	9913	3
272	1576	14
2306	4236	2
25914	6299	1
119	7645	13
8489	5565	0
14	2625	21
5995	4775	3
26884	8775	12
5295	952	5
993	5235	1
101	4908	20
181	6798	7
12	7209	3
125	3200	4
31028	9857	21
1850	3867	16
435	6083	6
14	9569	11
8435	9402	24
3959	7032	2
235	9347	17
45850	7084	1
12	9547	23
120	4020	6
129	3682	11
202	6041	5
10286	30	7
104	1347	13
229	2199	14
737	2136	4
9226	8968	7
12	9284	7
16970	2697	1
127	3521	14
12457	3851	1
573	9492	2
14	4579	8
5005	9641	1
30275	1776	2
42782	7949	1
12	6114	10
131	8770	9
107	1630	11
177	6093	9
4423	8207	5
3412	6298	4
880	9237	9
109	729	0
440	3326	0
3199	3973	1
21271	7346	17
342	5218	14
3669	8311	12
44378	1497	5
117	4449	10
219	8685	14
8204	2709	1
2487	9093	0
1896	9696	8
180	7681	16
34612	5943	17
314	3258	8
13550	4274	25
1922	5309	7
14	2156	25
129	2945	5
283	6582	7
34722	9523	16
2657	8258	30
190	8215	18
101	2541	3
1886	1811	19
744	4289	11
441	9204	2
665	9238	5
164	6466	3
2988	6301	6
116	8418	23
8	2782	13
14	268	10
14	7073	7
15695	6649	1
1186	8613	2
12506	6869	2
10510	2746	8
11343	9538	13
1410	1171	8
105	5741	23
12	6190	5
12	643	8
25058	3258	18
32017	2822	1
236	5833	8
182	5736	8
14	4003	15
1939	1431	22
37180	1331	2
891	9218	3
12726	1302	13
1079	4547	36
141	9857	11
223	1195	4
335	8670	0
14	7563	13
336	4636	11
7100	1516	7
104	6915	10
635	8332	8
2499	5522	23
14	8772	17
126	4963	25
16	342	2
101	495	14
8548	636	1
30080	5064	5
14	2895	17
8708	1528	7
147	6399	4
331	2900	5
487	2605	14
8306	5200	21
43324	8645	2
285	1819	3
297	5627	4
105	4711	4
197	9314	6
33547	7998	22
127	5578	12
572	8216	9
12	162	5
9122	9059	14
1462	3037	19
30279	6540	14
11767	537	9
30825	5129	15
798	5418	15
12	4073	8
42247	6629	8
767	7639	20
119	2836	4
241	2591	9
288	1139	24
347	5636	12
404	7411	4
14	4035	20
18869	5133	0
14	1984	13
102	4008	1
1984	7718	0
103	4363	2
12	3275	20
17740	3947	1
23560	342	3
562	7723	4
102	6734	1
104	6564	17
42354	3792	27
15205	3603	13
2537	7389	4
2005	7625	5
9270	1920	15
400	9738	0
106	2939	5
1443	2796	14
374	7612	10
144	6157	27
171	6322	16
2794	3033	10
572	2608	1
12	2785	30
107	8603	1
12	7494	8
204	8337	13
3011	1656	9
6009	4490	6
225	885	9
36596	4403	7
4825	4944	5
11382	1122	13
14	3745	10
1475	4003	9
21	2463	18
109	285	17
7969	1180	0
12	897	13
1454	44	3
5438	1951	15
42150	7774	11
42982	6764	19
109	3792	10
394	3279	11
225	6128	3
12852	637	13
114	9221	7
110	4211	9
190	2201	21
7155	4847	24
6701	2146	15
12	1324	5
12	8065	8
1984	1960	5
1305	8496	9
14	712	27
28638	6465	17
44817	8144	0
102	8682	1
157	7643	0
2244	9282	11
101	6826	10
3471	6379	14
24064	9153	12
229	8756	5
16	2975	14
11809	3901	6
14	3789	16
103	3077	3
7357	4356	16
12	8647	18
